type,count,granted_avg,rejected_avg,timeout_avg,error_avg,granted_count,rejected_count,timeout_count,error_count
Naïve,2,4.8,4,0,0,10,10,0,0
Naïve,2,5.1,1.4,0,0,10,10,0,0
Naïve,2,5.1,1.7,0,0,10,10,0,0
Naïve,2,4.3,2.5,0,0,10,10,0,0
Naïve,4,8.05,5.55,0,0,20,20,0,0
Naïve,4,5.2,1.55,0,0,20,20,0,0
Naïve,4,4.1,2.35,0,0,20,20,0,0
Naïve,4,4.15,1.7,0,0,20,20,0,0
Naïve,8,4.725,4.225,0,0,40,40,0,0
Naïve,8,5.075,3.175,0,0,40,40,0,0
Naïve,8,4.575,3.1,0,0,40,40,0,0
Naïve,8,5,3.525,0,0,40,40,0,0
Naïve,16,7.775,7.6875,0,0,80,80,0,0
Naïve,16,4.825,4.4375,0,0,80,80,0,0
Naïve,16,5.5,5.2875,0,0,80,80,0,0
Naïve,16,5.4375,4.5625,0,0,80,80,0,0
Naïve,32,6.08125,7.06875,0,0,160,160,0,0
Naïve,32,9.41875,10.275,0,0,160,160,0,0
Naïve,32,8.95625,8.66875,0,0,160,160,0,0
Naïve,32,6,6.3125,0,0,160,160,0,0
Naïve,64,11.50625,14.328125,0,0,320,320,0,0
Naïve,64,10.971875,12.51875,0,0,320,320,0,0
Naïve,64,10.08125,12.36875,0,0,320,320,0,0
Naïve,64,13.75,17.140625,0,0,320,320,0,0
Naïve,128,15.23125,19.6265625,0,0,640,640,0,0
Naïve,128,15.6109375,24.36875,0,0,640,640,0,0
Naïve,128,16.7984375,23.3765625,0,0,640,640,0,0
Naïve,128,16.5796875,24.7234375,0,0,640,640,0,0
Naïve,256,27.87724784988272,40.17562149157979,0,0,1279,1247,0,0
Naïve,256,31.7953125,44.05234375,0,0,1280,1280,0,0
Naïve,256,24.3140625,38.4984375,0,0,1280,1280,0,0
Naïve,256,33.06561264822135,51.40252100840336,0,0,1265,1190,0,0
Caching,2,3.7,1.2,0,0,10,10,0,0
Caching,2,3.8,0.8,0,0,10,10,0,0
Caching,2,4.1,0.8,0,0,10,10,0,0
Caching,2,3.9,1.3,0,0,10,10,0,0
Caching,4,5.3,1,0,0,20,20,0,0
Caching,4,7.05,0.75,0,0,20,20,0,0
Caching,4,4.55,0.65,0,0,20,20,0,0
Caching,4,4.7,1.5,0,0,20,20,0,0
Caching,8,4.575,0.875,0,0,40,40,0,0
Caching,8,4.575,0.9,0,0,40,40,0,0
Caching,8,4.5,0.85,0,0,40,40,0,0
Caching,8,4.225,1.075,0,0,40,40,0,0
Caching,16,5.25,1.3875,0,0,80,80,0,0
Caching,16,4.6875,1.15,0,0,80,80,0,0
Caching,16,5.4,0.9375,0,0,80,80,0,0
Caching,16,4.625,0.9125,0,0,80,80,0,0
Caching,32,6.49375,1.275,0,0,160,160,0,0
Caching,32,7.45625,1.26875,0,0,160,160,0,0
Caching,32,9.49375,1.39375,0,0,160,160,0,0
Caching,32,5.99375,1.34375,0,0,160,160,0,0
Caching,64,10.334375,3.115625,0,0,320,320,0,0
Caching,64,11.35,2.853125,0,0,320,320,0,0
Caching,64,9.709375,6.65625,0,0,320,320,0,0
Caching,64,9.4625,3.65,0,0,320,320,0,0
Caching,128,16.5171875,5.54375,0,0,640,640,0,0
Caching,128,14.75625,5.7109375,0,0,640,640,0,0
Caching,128,14.4265625,5.2015625,0,0,640,640,0,0
Caching,128,18.7234375,4.58125,0,0,640,640,0,0
Caching,256,26.3109375,9.86171875,0,0,1280,1280,0,0
Caching,256,29.43984375,8.77421875,0,0,1280,1280,0,0
Caching,256,25.62890625,9.6984375,0,0,1280,1280,0,0
Caching,256,28.87578125,9.7640625,0,0,1280,1280,0,0
