type,count,granted_avg,rejected_avg,timeout_avg,error_avg,granted_count,rejected_count,timeout_count,error_count
Naïve,2,2.7,0.7,0,0,10,10,0,0
Naïve,2,2.9,2,0,0,10,10,0,0
Naïve,2,2.5,1,0,0,10,10,0,0
Naïve,4,2.9,0.9,0,0,20,20,0,0
Naïve,4,2.2,1.45,0,0,20,20,0,0
Naïve,4,2.5,1.5,0,0,20,20,0,0
Naïve,8,3.2,1.775,0,0,40,40,0,0
Naïve,8,2.9,1.925,0,0,40,40,0,0
Naïve,8,2.875,2.325,0,0,40,40,0,0
Naïve,16,4.8,4.3,0,0,80,80,0,0
Naïve,16,4.2625,3.8625,0,0,80,80,0,0
Naïve,16,5.0375,4.525,0,0,80,80,0,0
Naïve,32,7.10625,7.7375,0,0,160,160,0,0
Naïve,32,6.9375,7.3375,0,0,160,160,0,0
Naïve,32,8.03125,8.94375,0,0,160,160,0,0
Naïve,64,10.278125,12.834375,0,0,320,320,0,0
Naïve,64,8.190625,9.825,0,0,320,320,0,0
Naïve,64,8.60625,10.4125,0,0,320,320,0,0
Naïve,128,18.9984375,24.0609375,0,0,640,640,0,0
Naïve,128,13.1703125,19.6953125,0,0,640,640,0,0
Naïve,128,16.2109375,22.2359375,0,0,640,640,0,0
Batching,2,2.7,0,0,0,10,10,0,0
Batching,2,2.7,0.5,0,0,10,10,0,0
Batching,2,2.3,0.5,0,0,10,10,0,0
Batching,4,4.55,0,0,0,20,20,0,0
Batching,4,2.75,0.35,0,0,20,20,0,0
Batching,4,4.05,0,0,0,20,20,0,0
Batching,8,9.075,0.05,0,0,40,40,0,0
Batching,8,5.525,0.25,0,0,40,40,0,0
Batching,8,5.325,0.375,0,0,40,40,0,0
Batching,16,10.8,2.8375,0,0,80,80,0,0
Batching,16,16.95,2.775,0,0,80,80,0,0
Batching,16,16.425,2.0875,0,0,80,80,0,0
Batching,32,21.775,3.73125,0,0,160,160,0,0
Batching,32,17.5125,4.03125,0,0,160,160,0,0
Batching,32,19.45625,3.44375,0,0,160,160,0,0
Batching,64,34.78125,5.521875,0,0,320,320,0,0
Batching,64,38.9125,6.109375,0,0,320,320,0,0
Batching,64,38.88125,6.934375,0,0,320,320,0,0
Batching,128,79.74155405405405,7.98125,0,0,592,640,0,0
Batching,128,45.990228013029316,10.3046875,0,0,614,640,0,0
Batching,128,41.30470016207455,6.5484375,0,0,617,640,0,0
